timestamp,pid,cpu_percent,memory_mb,cpu_affinity,num_threads,status
22:07:41,3503562,0.0,34.11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:44,3503562,4.5,34.3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:44,3503566,0.0,31.26,"[0, 1, 2, 3]",3,sleeping
22:07:44,3503567,0.0,31.26,"[4, 5, 6, 7]",3,sleeping
22:07:44,3503568,0.0,31.26,"[8, 9, 10, 11]",3,sleeping
22:07:44,3503569,0.0,31.2,"[12, 13, 14, 15]",3,sleeping
22:07:47,3503562,4.1,34.39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:47,3503566,0.0,31.26,"[0, 1, 2, 3]",3,sleeping
22:07:47,3503567,0.0,31.26,"[4, 5, 6, 7]",3,sleeping
22:07:47,3503568,0.0,31.26,"[8, 9, 10, 11]",3,sleeping
22:07:47,3503569,0.0,31.2,"[12, 13, 14, 15]",3,sleeping
22:07:50,3503562,4.2,34.39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:50,3503566,0.0,31.26,"[0, 1, 2, 3]",3,sleeping
22:07:50,3503567,0.0,31.26,"[4, 5, 6, 7]",3,sleeping
22:07:50,3503568,0.0,31.26,"[8, 9, 10, 11]",3,sleeping
22:07:50,3503569,0.0,31.2,"[12, 13, 14, 15]",3,sleeping
22:07:54,3503562,3.8,34.39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:54,3503566,0.0,31.66,"[0, 1, 2, 3]",2,sleeping
22:07:54,3503567,0.0,31.65,"[4, 5, 6, 7]",2,sleeping
22:07:54,3503568,0.0,31.65,"[8, 9, 10, 11]",2,sleeping
22:07:54,3503569,0.0,31.66,"[12, 13, 14, 15]",2,sleeping
22:07:57,3503562,4.1,34.39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:07:57,3503566,0.0,31.67,"[0, 1, 2, 3]",2,sleeping
22:07:57,3503567,0.0,31.66,"[4, 5, 6, 7]",2,sleeping
22:07:57,3503568,0.0,31.66,"[8, 9, 10, 11]",2,sleeping
22:07:57,3503569,0.0,31.67,"[12, 13, 14, 15]",2,sleeping
22:08:00,3503562,4.5,34.39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",5,sleeping
22:08:00,3503566,0.0,31.67,"[0, 1, 2, 3]",4,sleeping
22:08:00,3503567,0.0,31.66,"[4, 5, 6, 7]",4,sleeping
22:08:00,3503568,0.0,31.66,"[8, 9, 10, 11]",4,sleeping
22:08:00,3503569,0.0,31.67,"[12, 13, 14, 15]",4,sleeping
